feature,importance
FFMC,0.2947112777948371
ISI,0.28187240115835777
FWI,0.139121605094275
DMC,0.07076906024386255
DC,0.07020941192647721
BUI,0.06792800596581668
Rain,0.04424730399661277
Temperature,0.013928581115766357
RH,0.007581032702790479
day,0.005664637589803277
Ws,0.002249450319216199
month,0.0017172320921846542
year,0.0
